price,room_type,neighbourhood_cleansed,property_type,accommodates,beds,number_of_reviews,reviews_per_month,last_review,availability_365
,Private room,Harlem,Private room in rental unit,1,,34,0.21,2019-10-30,248
$110.00,Entire home/apt,Astoria,Entire rental unit,2,1.0,41,0.26,2023-09-23,88
$85.00,Entire home/apt,Harlem,Entire rental unit,4,2.0,182,1.11,2024-08-31,117
$130.00,Entire home/apt,Bedford-Stuyvesant,Entire rental unit,2,1.0,94,0.59,2024-08-02,361
$200.00,Entire home/apt,Williamsburg,Entire rental unit,3,1.0,57,0.36,2021-08-12,152
$106.00,Entire home/apt,Bedford-Stuyvesant,Entire townhouse,2,1.0,94,0.7,2024-07-01,317
$120.00,Entire home/apt,Harlem,Entire rental unit,5,2.0,131,0.8,2024-06-08,89
,Entire home/apt,Williamsburg,Entire rental unit,2,,26,0.21,2019-12-07,0
$170.00,Entire home/apt,Fort Greene,Entire rental unit,3,1.0,135,0.85,2024-07-21,320
$295.00,Entire home/apt,Park Slope,Entire townhouse,5,2.0,44,0.3,2024-08-26,55
$64.00,Entire home/apt,Crown Heights,Entire rental unit,2,1.0,86,0.54,2024-08-07,43
$296.00,Entire home/apt,Williamsburg,Entire rental unit,4,3.0,193,1.2,2023-12-02,125
$900.00,Private room,Park Slope,Private room in townhouse,2,3.0,41,0.27,2023-05-29,365
,Entire home/apt,East Village,Entire rental unit,2,,22,0.14,2014-11-10,0
,Entire home/apt,Harlem,Entire rental unit,4,,30,0.18,2022-10-30,365
,Private room,East Village,Private room in rental unit,2,,32,0.26,2016-01-05,0
,Entire home/apt,Harlem,Entire home,2,,18,0.11,2018-01-05,303
,Entire home/apt,West Village,Entire rental unit,2,,18,0.11,2013-05-31,0
$112.00,Entire home/apt,Upper West Side,Entire rental unit,3,2.0,310,2.03,2024-10-22,333
$425.00,Private room,Lower East Side,Private room in rental unit,2,2.0,75,0.47,2024-10-27,171
,Entire home/apt,Williamsburg,Entire rental unit,2,,19,0.12,2022-02-06,0
$150.00,Private room,Astoria,Private room in home,2,3.0,521,3.25,2023-02-05,338
$250.00,Private room,Harlem,Private room in guest suite,3,2.0,371,2.32,2024-10-28,296
