price,room_type,neighbourhood_cleansed,property_type,accommodates,beds,number_of_reviews,reviews_per_month,last_review,availability_365
$46.00,Private room,Bay Ridge,Private room in rental unit,1,1.0,26,0.95,2024-10-07,41
$80.00,Private room,Long Island City,Private room in serviced apartment,1,1.0,1,0.06,2023-06-30,308
,Entire home/apt,Harlem,Entire rental unit,5,,8,0.31,2023-09-02,177
$160.00,Entire home/apt,Ridgewood,Entire rental unit,2,1.0,50,1.81,2024-06-04,322
$398.00,Entire home/apt,Long Island City,Entire rental unit,4,2.0,0,,,188
$135.00,Entire home/apt,Harlem,Entire condo,3,2.0,61,2.2,2024-10-05,85
$288.00,Entire home/apt,Long Island City,Entire rental unit,2,1.0,0,,,365
$350.00,Entire home/apt,East Elmhurst,Entire home,9,7.0,79,2.88,2023-12-09,307
$137.00,Private room,Hell's Kitchen,Private room in rental unit,2,1.0,0,,,178
$316.00,Entire home/apt,Williamsburg,Entire rental unit,6,4.0,3,0.12,2023-05-05,337
,Entire home/apt,Upper West Side,Entire condo,4,,0,,,0
$88.00,Private room,Prospect-Lefferts Gardens,Private room in casa particular,2,1.0,33,1.25,2023-09-01,90
$45.00,Private room,Prospect-Lefferts Gardens,Private room in serviced apartment,1,1.0,0,,,354
$127.00,Private room,Bay Ridge,Private room in rental unit,1,1.0,16,0.64,2024-10-20,70
$67.00,Entire home/apt,Canarsie,Entire rental unit,1,1.0,0,,,365
$341.00,Private room,Williamsburg,Private room in condo,2,2.0,77,2.79,2024-10-27,150
$99.00,Entire home/apt,Sheepshead Bay,Entire townhouse,4,2.0,34,1.23,2024-05-14,147
$587.00,Entire home/apt,Financial District,Entire rental unit,7,3.0,75,2.79,2024-10-10,31
$45.00,Private room,Bay Ridge,Private room in rental unit,1,0.0,4,0.94,2024-10-01,47
,Private room,Bedford-Stuyvesant,Private room in home,1,,5,0.2,2024-07-19,0
$190.00,Entire home/apt,Clinton Hill,Entire condo,2,1.0,19,0.74,2023-12-14,348
$145.00,Shared room,Crown Heights,Shared room in rental unit,2,4.0,47,2.39,2024-10-20,332
$54.00,Private room,Sunset Park,Private room in rental unit,1,1.0,4,0.15,2023-10-02,243
$328.00,Entire home/apt,East Elmhurst,Entire home,3,2.0,16,0.58,2023-10-22,176
$179.00,Entire home/apt,West Village,Entire rental unit,2,1.0,9,0.36,2024-09-11,286
$250.00,Entire home/apt,Canarsie,Entire home,5,3.0,30,1.11,2023-09-04,365
,Entire home/apt,Brooklyn Heights,Entire rental unit,5,,0,,,0
$128.00,Private room,East Elmhurst,Private room in rental unit,2,3.0,189,7.11,2024-10-22,0
$80.00,Entire home/apt,Bushwick,Entire rental unit,2,1.0,20,1.24,2024-10-23,308
$150.00,Private room,Breezy Point,Room in hotel,2,1.0,10,0.36,2023-08-06,365
,Entire home/apt,Williamsburg,Entire loft,2,,2,0.07,2022-08-26,0
$250.00,Entire home/apt,Bushwick,Entire rental unit,8,5.0,13,0.47,2023-07-05,365
,Entire home/apt,Prospect Heights,Entire townhouse,4,,0,,,0
$100.00,Private room,Canarsie,Private room in condo,2,1.0,53,2.0,2024-10-13,336
$119.00,Entire home/apt,Astoria,Entire home,8,3.0,29,1.06,2024-09-19,365
$120.00,Entire home/apt,Greenpoint,Entire rental unit,2,1.0,19,0.7,2024-07-01,44
$110.00,Private room,Arverne,Private room in guest suite,2,3.0,106,3.84,2024-11-03,149
$200.00,Entire home/apt,East New York,Entire home,6,4.0,23,0.83,2024-04-20,331
$243.00,Entire home/apt,East New York,Entire home,7,4.0,19,0.7,2024-09-03,148
$52.00,Private room,Bedford-Stuyvesant,Private room in rental unit,2,1.0,34,1.25,2023-07-31,329
$750.00,Entire home/apt,Bedford-Stuyvesant,Entire home,6,5.0,2,0.08,2023-06-14,83
$200.00,Entire home/apt,Crown Heights,Entire rental unit,4,2.0,39,1.45,2024-08-01,175
$95.00,Entire home/apt,Sunset Park,Entire rental unit,2,2.0,2,0.12,2024-02-06,152
$131.00,Entire home/apt,Crown Heights,Entire rental unit,2,3.0,24,1.07,2024-09-02,66
,Private room,Ozone Park,Private room in home,2,,18,0.8,2024-07-17,2
$207.00,Entire home/apt,Bedford-Stuyvesant,Entire place,2,1.0,0,,,187
,Private room,Woodhaven,Private room in rental unit,2,,13,0.86,2023-11-05,0
$130.00,Private room,Williamsburg,Private room in rental unit,2,1.0,11,0.73,2023-10-16,365
,Entire home/apt,Greenpoint,Entire rental unit,3,,6,0.22,2023-01-04,0
$150.00,Private room,Williamsburg,Private room in rental unit,1,1.0,0,,,365
$150.00,Entire home/apt,Van Nest,Entire rental unit,3,1.0,67,2.47,2024-05-03,322
$175.00,Entire home/apt,East Harlem,Entire rental unit,3,1.0,5,0.19,2023-06-03,58
,Private room,Inwood,Private room in condo,2,,0,,,0
$110.00,Private room,Flushing,Private room in rental unit,2,4.0,96,3.65,2024-10-29,131
,Private room,Inwood,Private room in condo,1,,0,,,15
$277.00,Entire home/apt,Chelsea,Entire condo,2,2.0,4,0.19,2023-10-31,110
$37.00,Private room,Inwood,Private room in condo,2,1.0,0,,,49
$628.00,Entire home/apt,West Village,Entire condo,2,1.0,0,,,267
$135.00,Entire home/apt,Upper West Side,Entire condo,2,1.0,1,0.04,2022-08-01,347
,Entire home/apt,Carroll Gardens,Entire rental unit,3,,18,0.65,2024-07-29,30
$140.00,Entire home/apt,Ridgewood,Entire rental unit,2,1.0,20,0.75,2023-09-10,178
$115.00,Entire home/apt,Prospect-Lefferts Gardens,Entire townhouse,4,0.0,11,0.42,2023-09-04,338
$70.00,Entire home/apt,Canarsie,Entire townhouse,2,1.0,35,1.34,2023-09-10,330
$146.00,Entire home/apt,Brownsville,Entire rental unit,4,2.0,17,0.65,2023-09-11,88
,Entire home/apt,South Slope,Entire rental unit,3,,17,0.62,2024-08-29,56
,Private room,Baychester,Private room in serviced apartment,1,,0,,,365
$399.00,Entire home/apt,Hell's Kitchen,Entire serviced apartment,3,2.0,0,,,365
$348.00,Entire home/apt,Upper West Side,Entire rental unit,2,1.0,2,0.47,2024-08-04,275
$50.00,Private room,Flushing,Private room in rental unit,1,1.0,27,0.99,2023-08-23,365
$181.00,Entire home/apt,Upper East Side,Entire rental unit,4,3.0,1,0.04,2022-10-30,315
,Entire home/apt,Crown Heights,Entire condo,2,,4,0.16,2023-01-01,0
$340.00,Entire home/apt,DUMBO,Entire rental unit,4,2.0,3,0.2,2024-06-19,314
$98.00,Private room,Arverne,Private room in home,2,1.0,97,3.52,2024-04-10,0
$169.00,Entire home/apt,Kew Gardens Hills,Entire rental unit,5,2.0,2,0.12,2023-07-05,88
$90.00,Private room,Flatbush,Private room in rental unit,1,1.0,10,0.37,2023-08-13,365
$115.00,Entire home/apt,St. George,Entire guest suite,2,1.0,60,2.2,2024-06-12,332
$375.00,Entire home/apt,Glendale,Entire rental unit,7,4.0,28,1.01,2023-10-15,365
$345.00,Entire home/apt,Glendale,Entire rental unit,6,3.0,31,1.12,2023-09-05,365
$71.00,Private room,Allerton,Private room in rental unit,2,1.0,37,1.34,2023-09-04,365
$43.00,Private room,Longwood,Private room in condo,2,1.0,34,1.23,2024-08-13,321
$250.00,Entire home/apt,Upper East Side,Entire condo,3,2.0,2,0.08,2022-12-05,365
$190.00,Entire home/apt,Midtown,Entire condo,3,2.0,0,,,148
,Private room,Inwood,Private room in condo,2,,2,0.11,2024-01-02,0
,Private room,Sunset Park,Private room in rental unit,1,,2,0.07,2022-10-13,0
$523.00,Entire home/apt,East New York,Entire townhouse,16,8.0,11,0.42,2024-07-28,363
$52.00,Private room,Crown Heights,Private room in rental unit,2,1.0,0,,,365
$250.00,Entire home/apt,Midtown,Entire rental unit,4,1.0,3,0.24,2024-08-22,166
$295.00,Entire home/apt,Williamsburg,Entire rental unit,5,3.0,7,0.27,2024-03-23,323
$84.00,Private room,Glendale,Private room in rental unit,2,1.0,35,1.34,2023-10-28,89
$140.00,Private room,Laurelton,Private room in home,2,1.0,1,0.04,2022-08-19,365
$90.00,Private room,Astoria,Private room in rental unit,1,1.0,25,0.94,2024-10-01,315
$265.00,Entire home/apt,Bedford-Stuyvesant,Entire rental unit,3,2.0,11,0.43,2024-10-31,337
$95.00,Private room,Williamsburg,Private room in rental unit,1,1.0,32,1.17,2024-02-23,243
$200.00,Entire home/apt,Upper West Side,Entire rental unit,1,1.0,3,0.13,2022-12-18,70
$75.00,Shared room,Hell's Kitchen,Shared room in rental unit,1,1.0,28,1.03,2024-02-20,307
$110.00,Entire home/apt,Ditmars Steinway,Entire rental unit,2,1.0,3,0.12,2024-03-21,52
$50.00,Private room,Flatbush,Private room in home,2,1.0,31,1.16,2024-10-31,338
$280.00,Private room,Tompkinsville,Private room in rental unit,2,5.0,5,0.29,2023-09-04,180
$475.00,Entire home/apt,Canarsie,Entire rental unit,5,3.0,117,4.29,2024-10-31,333
$44.00,Private room,Bay Ridge,Private room in rental unit,1,1.0,28,1.05,2024-09-30,35
$170.00,Entire home/apt,Woodhaven,Entire rental unit,4,3.0,0,,,365
,Private room,Elmhurst,Private room in home,1,,1,0.06,2023-06-01,0
,Private room,Bedford-Stuyvesant,Private room in rental unit,1,,53,1.97,2024-08-31,53
,Private room,Jackson Heights,Private room in townhouse,1,,1,0.06,2023-06-15,0
,Private room,Jackson Heights,Private room in townhouse,1,,0,,,0
,Private room,Inwood,Private room in rental unit,2,,2,0.11,2024-05-02,0
$50.00,Private room,Ditmars Steinway,Private room in home,2,1.0,27,0.98,2023-01-03,134
,Private room,Inwood,Private room in townhouse,2,,1,0.05,2023-03-04,0
$179.00,Entire home/apt,Longwood,Entire rental unit,4,2.0,35,1.3,2023-08-06,365
$300.00,Shared room,Prince's Bay,Shared room in home,2,1.0,4,0.15,2022-09-21,187
,Private room,Crown Heights,Private room in rental unit,1,,3,0.12,2023-06-11,0
,Private room,Long Island City,Private room in loft,1,,1,0.04,2022-09-06,0
$97.00,Entire home/apt,Bushwick,Entire rental unit,2,1.0,11,0.48,2024-10-01,307
$96.00,Entire home/apt,Upper West Side,Entire rental unit,2,1.0,4,0.15,2024-04-29,180
$185.00,Entire home/apt,Flatlands,Entire home,4,2.0,15,0.58,2023-08-27,365
,Entire home/apt,Bedford-Stuyvesant,Entire condo,3,,3,0.11,2023-06-01,0
$314.00,Entire home/apt,Claremont Village,Entire rental unit,7,4.0,10,0.48,2023-09-04,179
$175.00,Entire home/apt,Eltingville,Entire home,3,2.0,9,0.38,2023-08-23,217
$217.00,Private room,East New York,Private room in guest suite,2,2.0,61,2.25,2024-10-20,69
$50.00,Private room,Ditmars Steinway,Private room in home,2,1.0,20,0.73,2023-01-04,134
$63.00,Private room,Ditmars Steinway,Private room in home,2,1.0,23,0.84,2023-01-04,134
$65.00,Private room,Ditmars Steinway,Private room in home,1,1.0,21,0.77,2023-01-04,134
$85.00,Private room,Ditmars Steinway,Private room in home,2,1.0,22,0.8,2023-01-02,134
$79.00,Private room,Bushwick,Private room in rental unit,1,1.0,14,0.52,2023-01-01,90
$85.00,Private room,Flushing,Private room in home,2,1.0,58,2.1,2023-08-31,54
$155.00,Entire home/apt,Park Slope,Entire place,2,1.0,4,0.18,2024-10-18,152
,Entire home/apt,Parkchester,Entire condo,5,,24,0.87,2022-10-27,0
,Private room,Ridgewood,Private room in serviced apartment,1,,0,,,354
$350.00,Entire home/apt,Greenpoint,Entire condo,4,2.0,5,0.26,2023-09-08,87
$150.00,Entire home/apt,Crown Heights,Entire condo,2,2.0,1,0.07,2023-08-26,179
,Entire home/apt,Concourse,Entire rental unit,4,,18,0.7,2024-10-08,0
$196.00,Entire home/apt,Jamaica,Entire home,7,4.0,68,2.48,2023-09-17,270
$156.00,Entire home/apt,Kensington,Entire guest suite,2,2.0,35,1.29,2023-12-05,365
$75.00,Private room,Corona,Private room in rental unit,1,1.0,1,0.07,2023-09-03,365
$60.00,Private room,Claremont Village,Private room in rental unit,1,1.0,2,0.08,2022-10-06,95
,Entire home/apt,Greenpoint,Entire condo,6,,1,0.05,2023-03-04,0
,Entire home/apt,Kips Bay,Entire rental unit,2,,28,1.02,2024-09-14,0
$331.00,Entire home/apt,Greenpoint,Entire loft,2,1.0,3,0.12,2023-10-02,100
$169.00,Entire home/apt,Jamaica,Entire home,5,3.0,39,1.42,2023-09-23,270
$206.00,Private room,Fort Hamilton,Private room in rental unit,2,2.0,132,4.86,2024-10-20,277
$84.00,Entire home/apt,Nolita,Entire rental unit,1,0.0,1,0.04,2022-10-28,336
$473.00,Entire home/apt,Upper West Side,Entire rental unit,4,2.0,0,,,216
$154.00,Private room,Concourse,Private room in rental unit,2,1.0,176,6.73,2024-11-03,311
$150.00,Entire home/apt,Upper East Side,Entire rental unit,2,1.0,2,0.08,2023-11-21,365
$135.00,Entire home/apt,Fort Greene,Entire rental unit,2,1.0,10,0.41,2024-08-01,120
$350.00,Entire home/apt,Financial District,Entire condo,4,2.0,0,,,363
$245.00,Entire home/apt,Hell's Kitchen,Entire rental unit,4,2.0,8,0.36,2024-10-01,184
$136.00,Entire home/apt,Chelsea,Entire rental unit,2,1.0,2,0.08,2023-09-14,331
$125.00,Entire home/apt,Allerton,Casa particular,2,1.0,33,1.21,2023-07-06,365
$242.00,Entire home/apt,Financial District,Entire rental unit,2,1.0,0,,,272
$350.00,Entire home/apt,Midtown,Entire rental unit,3,1.0,0,,,353
$200.00,Entire home/apt,Murray Hill,Entire rental unit,2,1.0,0,,,332
$306.00,Entire home/apt,Midtown,Entire rental unit,3,1.0,0,,,331
$458.00,Entire home/apt,Theater District,Entire rental unit,5,2.0,0,,,359
$244.00,Entire home/apt,Tribeca,Entire rental unit,2,1.0,0,,,314
$290.00,Entire home/apt,Hell's Kitchen,Entire rental unit,3,1.0,2,0.28,2024-05-11,345
$89.00,Entire home/apt,Upper West Side,Entire serviced apartment,2,1.0,0,,,272
,Entire home/apt,Midtown,Entire rental unit,2,,0,,,0
,Private room,Hell's Kitchen,Room in hotel,4,,19,0.71,2024-08-26,0
,Private room,Hell's Kitchen,Room in hotel,4,,32,1.17,2023-05-30,0
,Private room,Hell's Kitchen,Room in hotel,2,,3,0.11,2022-08-15,0
,Private room,Hell's Kitchen,Room in boutique hotel,4,,4,0.16,2022-12-10,0
,Private room,Hell's Kitchen,Room in boutique hotel,4,,25,0.93,2024-04-01,0
$256.00,Entire home/apt,Briarwood,Entire home,6,0.0,42,1.55,2023-10-05,364
,Entire home/apt,Financial District,Entire serviced apartment,2,,1,0.04,2022-08-13,27
,Private room,Greenpoint,Private room in condo,2,,159,5.81,2024-09-20,0
$99.00,Entire home/apt,Jamaica,Entire home,3,2.0,16,0.59,2023-08-30,364
$241.00,Entire home/apt,Ridgewood,Entire loft,4,2.0,41,1.55,2024-10-28,361
$104.00,Entire home/apt,Williamsburg,Entire guest suite,2,1.0,33,1.33,2024-10-13,185
,Entire home/apt,Bushwick,Entire loft,4,,6,0.23,2023-06-28,0
$130.00,Entire home/apt,Ridgewood,Entire rental unit,1,1.0,11,0.43,2024-09-21,112
,Entire home/apt,Harlem,Entire rental unit,2,,25,0.91,2023-09-09,365
$160.00,Shared room,East Flatbush,Shared room in rental unit,2,2.0,0,,,365
,Private room,Bedford-Stuyvesant,Private room in condo,2,,0,,,0
$390.00,Private room,East Flatbush,Private room in rental unit,6,6.0,0,,,365
$456.00,Entire home/apt,Upper East Side,Entire rental unit,5,2.0,0,,,342
$80.00,Private room,Bushwick,Private room in rental unit,2,1.0,93,3.38,2023-09-01,338
,Private room,Hell's Kitchen,Room in boutique hotel,2,,7,0.26,2023-01-18,0
,Private room,Hell's Kitchen,Room in boutique hotel,2,,14,0.51,2024-04-18,0
,Private room,Hell's Kitchen,Room in boutique hotel,2,,2,0.1,2023-02-20,0
$80.00,Private room,Washington Heights,Private room in condo,1,1.0,3,0.16,2023-07-13,32
$190.00,Entire home/apt,Chelsea,Entire condo,4,2.0,1,0.04,2022-09-05,250
$89.00,Entire home/apt,Upper West Side,Entire serviced apartment,1,1.0,4,0.18,2024-08-11,314
$334.00,Entire home/apt,Greenpoint,Entire condo,6,2.0,3,0.12,2023-02-18,321
$100.00,Entire home/apt,Prospect Heights,Entire rental unit,2,1.0,4,0.18,2024-06-01,97
"$1,850.00",Entire home/apt,Chinatown,Entire loft,16,1.0,0,,,365
"$1,850.00",Entire home/apt,Chinatown,Entire loft,16,1.0,0,,,365
$150.00,Entire home/apt,Mariners Harbor,Entire rental unit,4,1.0,8,0.39,2024-10-17,365
$100.00,Private room,Williamsburg,Private room in rental unit,1,1.0,6,0.23,2023-05-21,365
,Entire home/apt,Williamsburg,Entire loft,2,,0,,,0
,Entire home/apt,Brownsville,Entire loft,2,,40,1.49,2023-12-03,0
$110.00,Entire home/apt,Melrose,Entire rental unit,2,2.0,7,0.27,2024-06-01,343
$134.00,Entire home/apt,Richmond Hill,Entire rental unit,4,2.0,28,1.02,2023-09-17,269
,Entire home/apt,Crown Heights,Entire rental unit,2,,30,1.1,2023-05-07,0
$343.00,Entire home/apt,Midtown,Entire rental unit,2,1.0,0,,,298
$180.00,Private room,Springfield Gardens,Private room in home,2,1.0,57,2.08,2023-09-04,90
$50.00,Private room,Prospect-Lefferts Gardens,Private room in serviced apartment,1,1.0,0,,,354
$99.00,Private room,Clason Point,Private room in townhouse,2,1.0,0,,,365
$110.00,Entire home/apt,Manhattan Beach,Entire bungalow,4,2.0,20,0.76,2024-06-29,364
,Private room,East Village,Private room in rental unit,2,,10,0.4,2023-04-16,0
$125.00,Entire home/apt,Hell's Kitchen,Entire rental unit,4,2.0,1,0.06,2023-07-31,347
$79.00,Private room,Cypress Hills,Private room in home,4,4.0,83,3.03,2024-10-09,359
$180.00,Private room,Springfield Gardens,Private room in home,3,3.0,27,0.99,2023-09-04,90
$155.00,Private room,Springfield Gardens,Private room in home,1,1.0,26,0.96,2023-09-03,90
$40.00,Private room,St. George,Private room in home,1,1.0,3,0.18,2024-06-01,349
$177.00,Entire home/apt,Throgs Neck,Entire rental unit,14,5.0,13,0.48,2023-11-05,307
$248.00,Entire home/apt,Hell's Kitchen,Entire condo,4,2.0,63,2.3,2023-11-08,187
$214.00,Entire home/apt,Upper West Side,Entire condo,2,2.0,8,0.38,2024-10-05,239
$88.00,Private room,Claremont Village,Private room in rental unit,2,1.0,25,0.91,2023-03-22,365
$167.00,Private room,Canarsie,Private room in rental unit,4,1.0,43,1.59,2023-10-22,365
,Entire home/apt,Midwood,Entire rental unit,2,,1,0.05,2023-01-22,0
$180.00,Entire home/apt,Bellerose,Entire rental unit,4,2.0,6,0.23,2023-08-05,363
$111.00,Entire home/apt,East Harlem,Entire rental unit,4,2.0,5,0.2,2024-07-16,363
,Entire home/apt,East Village,Entire rental unit,4,,32,1.2,2023-07-25,0
$120.00,Entire home/apt,Williamsburg,Entire rental unit,2,1.0,12,0.48,2024-07-10,308
$80.00,Entire home/apt,Williamsbridge,Entire rental unit,2,1.0,13,0.48,2024-10-22,345
$150.00,Entire home/apt,Financial District,Entire rental unit,2,1.0,0,,,0
$150.00,Entire home/apt,Flushing,Entire condo,6,3.0,66,2.49,2024-04-18,306
$83.00,Entire home/apt,East Flatbush,Entire rental unit,2,1.0,27,1.02,2024-05-30,306
,Private room,Midtown,Room in boutique hotel,2,,3,0.11,2022-09-05,0
$180.00,Entire home/apt,West Village,Entire rental unit,4,2.0,10,0.39,2024-08-18,85
,Private room,South Ozone Park,Private room in rental unit,2,,3,0.11,2022-10-09,0
$45.00,Private room,Laurelton,Private room in home,1,1.0,17,0.63,2023-08-08,364
,Entire home/apt,East Village,Entire rental unit,2,,11,0.42,2023-03-19,0
,Entire home/apt,Upper East Side,Entire condo,4,,4,0.18,2024-05-15,0
$95.00,Entire home/apt,Belmont,Entire rental unit,3,1.0,5,0.18,2023-08-08,261
$93.00,Private room,Ridgewood,Private room in rental unit,2,1.0,31,1.19,2023-10-04,365
$190.00,Entire home/apt,Chinatown,Entire rental unit,2,1.0,4,0.16,2024-10-03,268
$60.00,Private room,Bushwick,Private room in rental unit,2,1.0,2,0.08,2022-09-19,307
$186.00,Entire home/apt,Midtown,Entire rental unit,1,1.0,8,0.3,2022-12-04,68
$500.00,Shared room,Harlem,Shared room in guest suite,1,3.0,42,1.56,2023-09-22,27
$137.00,Private room,Brighton Beach,Private room in condo,2,0.0,0,,,365
$43.00,Private room,Ridgewood,Private room in serviced apartment,1,1.0,0,,,354
,Private room,Bushwick,Private room in serviced apartment,1,,0,,,354
$70.00,Private room,Bushwick,Private room in rental unit,1,1.0,10,0.37,2023-08-01,89
$350.00,Entire home/apt,Upper East Side,Entire rental unit,3,2.0,93,3.41,2024-10-10,300
$60.00,Private room,Flatbush,Private room in rental unit,2,1.0,37,1.39,2024-03-13,295
$215.00,Entire home/apt,East Village,Entire rental unit,3,2.0,26,0.99,2024-10-15,311
,Entire home/apt,Williamsburg,Entire condo,4,,6,0.23,2023-07-10,0
,Entire home/apt,Belmont,Entire rental unit,7,,29,1.1,2023-08-24,0
$88.00,Private room,Flushing,Private room in rental unit,2,1.0,0,,,50
,Entire home/apt,Crown Heights,Entire rental unit,4,,17,0.66,2023-09-03,0
$95.00,Private room,Upper West Side,Private room in rental unit,1,1.0,14,0.53,2023-10-17,307
,Entire home/apt,Williamsburg,Entire rental unit,2,,6,0.23,2023-01-04,0
$143.00,Entire home/apt,Howard Beach,Entire rental unit,2,1.0,9,0.38,2023-08-22,89
,Entire home/apt,Gowanus,Entire loft,2,,10,0.38,2023-07-19,0
$150.00,Entire home/apt,Jackson Heights,Entire guest suite,2,1.0,52,1.99,2024-10-27,321
$85.00,Entire home/apt,Astoria,Entire rental unit,2,1.0,9,0.34,2024-10-23,63
$89.00,Private room,Laurelton,Private room in home,2,2.0,80,2.94,2023-08-26,365
$130.00,Entire home/apt,Bushwick,Entire rental unit,2,2.0,39,1.45,2024-07-31,158
$150.00,Entire home/apt,Flushing,Entire condo,6,3.0,60,2.21,2023-10-24,288
,Entire home/apt,Hell's Kitchen,Entire rental unit,3,,0,,,0
,Private room,Bay Ridge,Private room in rental unit,2,,12,0.44,2023-08-22,0
$105.00,Entire home/apt,Woodside,Entire rental unit,2,1.0,8,0.33,2024-09-25,310
,Private room,Bedford-Stuyvesant,Private room in condo,2,,3,0.11,2023-05-21,0
$159.00,Entire home/apt,East Elmhurst,Entire rental unit,2,1.0,109,4.13,2024-10-17,351
,Entire home/apt,Williamsburg,Entire rental unit,4,,3,0.11,2022-10-07,0
,Private room,Harlem,Private room in serviced apartment,3,,59,2.17,2024-10-02,195
,Entire home/apt,Greenpoint,Entire condo,4,,0,,,0
$79.00,Private room,Harlem,Private room in serviced apartment,2,1.0,52,1.93,2024-07-31,220
$80.00,Private room,Harlem,Private room in serviced apartment,2,1.0,56,2.07,2024-05-11,199
$100.00,Private room,Maspeth,Private room in home,2,1.0,5,1.43,2024-10-12,52
$215.00,Entire home/apt,Bedford-Stuyvesant,Entire rental unit,4,2.0,17,0.65,2023-05-20,365
$49.00,Private room,Bedford-Stuyvesant,Private room in serviced apartment,1,1.0,0,,,354
,Private room,Crown Heights,Private room in serviced apartment,1,,0,,,354
,Private room,Crown Heights,Private room in serviced apartment,1,,0,,,354
,Private room,Crown Heights,Private room in serviced apartment,1,,1,0.56,2024-09-12,354
$117.00,Entire home/apt,Morningside Heights,Entire rental unit,2,2.0,1,0.08,2023-10-07,330
$120.00,Entire home/apt,Williamsburg,Entire rental unit,2,1.0,5,0.19,2022-10-12,335
$59.00,Private room,Flushing,Private room in condo,1,1.0,8,0.32,2023-08-10,365
$82.00,Private room,Harlem,Private room in rental unit,1,1.0,42,1.6,2024-10-30,233
$90.00,Entire home/apt,Williamsburg,Entire rental unit,4,3.0,84,3.1,2024-08-17,251
$170.00,Private room,Bedford-Stuyvesant,Private room in condo,2,1.0,53,2.1,2024-10-01,31
$140.00,Private room,Crown Heights,Private room in home,4,3.0,75,2.76,2023-12-06,365
$84.00,Private room,Fort Greene,Private room in rental unit,2,1.0,23,0.86,2024-10-20,131
$250.00,Private room,Ridgewood,Private room in rental unit,2,1.0,68,2.51,2024-10-22,325
,Entire home/apt,Long Island City,Entire rental unit,2,,2,0.11,2023-05-07,0
$185.00,Entire home/apt,Flatlands,Entire home,2,2.0,111,4.12,2024-10-27,330
$330.00,Entire home/apt,West Village,Entire rental unit,2,1.0,0,,,319
$933.00,Entire home/apt,Gowanus,Entire townhouse,6,3.0,0,,,365
,Entire home/apt,Upper East Side,Entire rental unit,3,,9,0.34,2023-06-28,0
$124.00,Entire home/apt,Bushwick,Entire rental unit,4,2.0,7,0.29,2024-04-24,324
$473.00,Entire home/apt,Bushwick,Entire rental unit,2,5.0,55,2.05,2024-01-01,180
$130.00,Entire home/apt,Sheepshead Bay,Entire home,6,2.0,14,0.52,2023-09-04,242
$96.00,Private room,Bushwick,Private room in guest suite,2,1.0,0,,,365
$800.00,Entire home/apt,Hell's Kitchen,Entire rental unit,4,2.0,3,0.13,2024-07-21,122
$119.00,Entire home/apt,Flushing,Entire guesthouse,6,5.0,1,0.04,2022-11-05,364
,Entire home/apt,Chelsea,Entire condo,2,,0,,,0
,Entire home/apt,Clinton Hill,Entire loft,6,,18,0.67,2022-12-30,0
$128.00,Entire home/apt,Sunnyside,Entire rental unit,1,2.0,38,1.49,2024-03-27,54
$150.00,Entire home/apt,Whitestone,Entire home,3,3.0,42,1.56,2024-10-18,364
$71.00,Private room,Graniteville,Private room in rental unit,2,1.0,44,1.64,2023-09-05,276
$149.00,Private room,Williamsburg,Private room in rental unit,2,1.0,10,0.43,2023-08-21,295
$175.00,Entire home/apt,Prospect Heights,Entire condo,3,1.0,4,0.16,2023-10-21,244
$200.00,Entire home/apt,Baychester,Entire rental unit,4,1.0,0,,,365
$138.00,Private room,Pelham Gardens,Private room,2,1.0,16,0.78,2024-10-02,358
$129.00,Private room,East Harlem,Private room in guesthouse,2,1.0,78,2.9,2024-10-26,73
$40.00,Private room,East New York,Private room in home,1,1.0,6,0.26,2024-08-31,346
$45.00,Private room,East New York,Private room in home,1,1.0,2,0.1,2023-11-23,91
$274.00,Entire home/apt,Rosedale,Entire home,6,3.0,65,2.42,2024-10-20,147
$110.00,Private room,Kips Bay,Room in boutique hotel,4,2.0,1,0.07,2023-08-18,365
$155.00,Entire home/apt,Bushwick,Entire loft,4,2.0,18,0.74,2023-06-17,364
$185.00,Entire home/apt,Harlem,Entire rental unit,4,2.0,76,2.92,2023-12-12,365
$157.00,Entire home/apt,Sea Gate,Entire rental unit,5,2.0,1,1.0,2024-10-14,356
$69.00,Private room,Midtown,Private room in rental unit,1,0.0,0,,,364
$265.00,Entire home/apt,SoHo,Entire loft,4,2.0,29,1.07,2024-10-06,4
$192.00,Entire home/apt,Chinatown,Entire loft,2,1.0,1525,56.2,2024-10-21,365
$193.00,Entire home/apt,Tribeca,Entire loft,4,1.0,24,0.89,2024-10-10,5
$157.00,Shared room,Ditmars Steinway,Shared room in rental unit,1,1.0,0,,,173
$389.00,Entire home/apt,West Village,Entire rental unit,4,2.0,0,,,317
,Private room,Washington Heights,Private room in townhouse,2,,0,,,0
,Private room,Washington Heights,Private room in townhouse,1,,0,,,0
$43.00,Private room,Washington Heights,Private room in townhouse,1,1.0,0,,,32
$46.00,Private room,Washington Heights,Private room in townhouse,2,1.0,4,0.16,2023-09-02,55
,Private room,Washington Heights,Private room in townhouse,2,,0,,,1
,Private room,Bushwick,Private room in serviced apartment,1,,0,,,354
$75.00,Private room,Bushwick,Private room in rental unit,1,1.0,12,0.48,2023-09-04,364
$254.00,Entire home/apt,Howard Beach,Entire home,6,3.0,18,0.67,2023-09-03,365
,Entire home/apt,Williamsburg,Entire rental unit,2,,3,0.13,2023-08-04,0
$205.00,Entire home/apt,Bedford-Stuyvesant,Entire condo,4,3.0,12,0.45,2023-05-01,339
